id_præd;id_præst;præst_navn;id_dok;dato;periode;helligdag;udgivelses_type;udgiver;stift;år_født;år_død;stilling;affiliation;afviger;txt;final;bemærkninger;;;;;
33;7;Jensenius Johansen;pr33_7;06-11-1864;1864;all_1;1pre;Boghandler Stinck;sle;1827;1902;præ;ind;falsk;sandt;sandt;;;;;;
34;8;Christian Andreas Kalkar;pr34_8;10-04-1864;1864;2pås_1;1pre;C. C. Rose & Delbanco;køb;1802;1886;præ;tre;falsk;sandt;falsk;;;;;;
35;9;Johannes Hilarius Kofod;pr35_9;15-05-1864;1864;pin_1;1pre;M. Wolf;køb;NA;NA;præ;NA;falsk;sandt;falsk;;;;;;
36;10;Hans Peter Kofod-Hansen ;pr36_10;21-02-1864;1864;2fas_1;1pre;Godske Nielsens Bogtrykkeri;sle;1813;1893;præ;NA;falsk;sandt;falsk;;;;;;
37;11;E. G. A. Hindberg;pr37_11;18-12-1864;1864;4adv_1;1pre;H. Wissing;vib;1806;1866;præ;NA;falsk;sandt;falsk;;;;;;
38;12;Lauritz Laurberg;pr38_12;09-10-1864;1864;20tri_1;1pre;S. Hertz's Enke;rib;1830;1870;præ;gru_ind;sand_aff;sandt;sandt;;;;;;
39;13;Frederik Vilhelm Lund;pr39_13;14-02-1864;1864;1fas_1;1pre;Den Rosenstandske Boghandels Forlag;fyn;1812;1898;præ;NA;falsk;sandt;falsk;;;;;;
40;14;Frederik Benedict Bartholdy-Møller;pr40_14;22-05-1864;1864;tri_1;1pre;L. Jensen;vib;1832;1914;kap;gru;falsk;sandt;sandt;;;;;;
41;15;Karsten Friis Viborg;pr41_15;22-04-1864;1864;bed_1;1pre;H. C. Tørsleff;køb;1813;1885;præ;gru;falsk;sandt;sandt;;;;;;
42;16;Ludvig Albert Warburg;pr42_16;22-04-1864;1864;bed_1;1pre;O. H. Delbanco;køb;1821;1886;præ;tre_ind;sand_aff;sandt;falsk;;;;;;
43;17;Paul Christian Brodersen;pr43_17;1940-12-08;1940-1945;1adv_1;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
44;17;Paul Christian Brodersen;pr44_17;1940-03-25;1940-1945;mbe_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
45;17;Paul Christian Brodersen;pr45_17;1940-06-02;1940-1945;2tri_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
46;17;Paul Christian Brodersen;pr46_17;1940-04-21;1940-1945;4pås_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
47;17;Paul Christian Brodersen;pr47_17;1941-01-05;1940-1945;1nyt_1;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
48;17;Paul Christian Brodersen;pr48_17;1941-04-11;1940-1945;lan_1;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
